username,password,email,income,category,product,quantity,price,total_price,date
mim,1234,mim@gmail.com,,,,,,,2026-05-01
mim,,,100000,,,,,,2026-05-01
mim,,,,food,cake,2,50000.0,100000.0,2026-05-01
mim,,,,rent,flat,1,50000.0,50000.0,2026-05-01
simi,1234,simi@gmail.com,,,,,,,2026-05-01
simi,,,50000,,,,,,2026-05-01
simi,,,,tour,cox's bazar,5000,5000.0,25000000.0,2026-05-01
mim,,,,tour,cox's bazar,1,5000.0,5000.0,2026-05-01
mim,,,,food,chocolate,5,50.0,250.0,2026-05-01
ramisa,7890,ramisa@gmail.com,,,,,,,2026-05-01
ramisa,,,500000,,,,,,2026-05-01
ramisa,,,,tour,sylhet,1,6000.0,6000.0,2026-05-01
mim,,,,food,cake,4,500.0,2000.0,2026-05-01
google,1234,google,,,,,,,2026-05-01
google,,,2000,,,,,,2026-05-01
google,,,,rent,flat,1,5000.0,5000.0,2026-05-01
google,,,,food,coke,2,120.0,240.0,2026-05-01
microsoft,1234,microsoft@gmail.com,,,,,,,2026-05-01
microsoft,,,20000,,,,,,2026-05-01
microsoft,,,,food,biscute,2,400.0,800.0,2026-05-01
microsoft,,,,rent,flat,1,4000.0,4000.0,2026-05-01
mim,,,,medicine,napa ,2,30.0,60.0,2026-05-01
google,,,,shopping,dress,2,5000.0,10000.0,2026-06-03
